@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs_nn-1 numeric
@attribute inputs_nn-2 numeric
@attribute inputs_nn-3 numeric
@attribute inputs_nn-4 numeric
@attribute inputs_nn-5 numeric
@attribute inputs_nn-6 numeric
@attribute inputs_nn-7 numeric
@attribute inputs_nn-8 numeric
@attribute inputs_nn-9 numeric
@attribute inputs_nn-10 numeric
@attribute inputs_nn-11 numeric
@attribute inputs_nn-12 numeric
@attribute inputs_nn-13 numeric
@attribute inputs_nn-14 numeric
@attribute inputs_nn-15 numeric
@attribute inputs_nn-16 numeric
@attribute outputs_nn-1 numeric
@attribute outputs_nn-2 numeric
@attribute outputs_nn-3 numeric
@attribute outputs_nn-4 numeric
@attribute outputs_nn-5 numeric
@attribute outputs_nn-6 numeric
@attribute outputs_nn-7 numeric
@attribute outputs_nn-8 numeric
@attribute outputs_nn-9 numeric
@attribute outputs_nn-10 numeric

@data
26331,'2018/10/03 20:13:48:077',28,0.477077,0.452265,0.42262,0.391556,0.361809,0.335129,0.312393,0.293976,0.280124,0.271107,0.267067,0.26768,0.000001,0.000597,0.001412,0,1,0,0,0,0,0,0,0,0,0
26332,'2018/10/03 20:13:48:124',28,0.482322,0.456091,0.423704,0.388721,0.354752,0.324963,0.301655,0.286006,0.277995,0.276511,0.279632,0.285002,0.000003,0.000491,0.001424,0,1,0,0,0,0,0,0,0,0,0
26333,'2018/10/03 20:13:48:170',28,0.498467,0.467211,0.42828,0.385727,0.343784,0.306323,0.276393,0.255875,0.245321,0.243975,0.249979,0.260717,0.000006,0.000703,0.001451,0,1,0,0,0,0,0,0,0,0,0
26334,'2018/10/03 20:13:48:216',28,0.44824,0.432893,0.413964,0.393457,0.373295,0.355013,0.339552,0.327189,0.317594,0.310009,0.303498,0.297202,0.000002,0.00062,0.00145,0,1,0,0,0,0,0,0,0,0,0
26335,'2018/10/03 20:13:48:274',28,0.47505,0.449203,0.419924,0.39111,0.365098,0.342551,0.323089,0.306204,0.291868,0.280551,0.272706,0.268162,0.000002,0.000657,0.001456,0,1,0,0,0,0,0,0,0,0,0
26336,'2018/10/03 20:13:48:321',28,0.464393,0.443382,0.417994,0.391191,0.365612,0.343158,0.324811,0.31068,0.300218,0.292525,0.286637,0.281753,0.000002,0.001094,0.00147,0,1,0,0,0,0,0,0,0,0,0
26337,'2018/10/03 20:13:48:368',28,0.476263,0.451677,0.421374,0.388569,0.356349,0.327229,0.302887,0.2841,0.270862,0.262627,0.258586,0.25789,0.000002,0.000816,0.001468,0,1,0,0,0,0,0,0,0,0,0
26338,'2018/10/03 20:13:48:426',28,0.491033,0.462365,0.427623,0.391062,0.356777,0.328052,0.306888,0.293802,0.287898,0.287208,0.2892,0.291347,0.000002,0.000632,0.001474,0,1,0,0,0,0,0,0,0,0,0
26339,'2018/10/03 20:13:48:472',28,0.4607,0.438289,0.410056,0.378614,0.346665,0.316666,0.290545,0.269525,0.254065,0.243926,0.238324,0.236156,0.000001,0.0009,0.001448,0,1,0,0,0,0,0,0,0,0,0
26340,'2018/10/03 20:13:48:518',28,0.487503,0.472448,0.452851,0.430019,0.405409,0.380493,0.356627,0.334944,0.316264,0.301051,0.289403,0.281083,0.000004,0.001105,0.00144,0,1,0,0,0,0,0,0,0,0,0
26341,'2018/10/03 20:13:48:576',28,0.452089,0.430657,0.406352,0.382229,0.359901,0.339538,0.320588,0.302778,0.286791,0.274254,0.267027,0.266185,0.000004,0.001136,0.001456,0,1,0,0,0,0,0,0,0,0,0
26342,'2018/10/03 20:13:48:623',28,0.460704,0.450443,0.436693,0.420029,0.401137,0.380776,0.359738,0.33881,0.318731,0.30016,0.283644,0.269594,0.000003,0.000618,0.001449,0,1,0,0,0,0,0,0,0,0,0
26343,'2018/10/03 20:13:48:669',28,0.460992,0.433603,0.400176,0.364704,0.33118,0.30302,0.282601,0.270985,0.267875,0.271776,0.280345,0.29084,0.000002,0.000515,0.00145,0,1,0,0,0,0,0,0,0,0,0
26344,'2018/10/03 20:13:48:727',28,0.483767,0.456466,0.423172,0.387808,0.354197,0.325472,0.303635,0.289343,0.28194,0.279723,0.280382,0.281504,0.000002,0.000643,0.001451,0,1,0,0,0,0,0,0,0,0,0
26345,'2018/10/03 20:13:48:774',28,0.423797,0.398629,0.368464,0.33726,0.308767,0.285905,0.270332,0.262272,0.260625,0.263328,0.267872,0.271863,0.000001,0.000272,0.001428,0,1,0,0,0,0,0,0,0,0,0
26346,'2018/10/03 20:13:48:820',28,0.459832,0.438067,0.412151,0.385148,0.359499,0.336684,0.317237,0.301002,0.287464,0.276,0.266023,0.257032,0.000001,0.001404,0.001424,0,1,0,0,0,0,0,0,0,0,0
26347,'2018/10/03 20:13:48:867',28,0.46458,0.446207,0.424908,0.403198,0.382636,0.363782,0.346629,0.331174,0.317768,0.307034,0.299449,0.294871,0.000003,0.000914,0.001438,0,1,0,0,0,0,0,0,0,0,0
26348,'2018/10/03 20:13:48:925',28,0.458374,0.439441,0.415453,0.388562,0.361064,0.335142,0.31262,0.294789,0.282291,0.275103,0.272599,0.273684,0.000001,0.000498,0.001433,0,1,0,0,0,0,0,0,0,0,0
26349,'2018/10/03 20:13:48:971',28,0.534945,0.502406,0.462295,0.418999,0.376872,0.339606,0.30976,0.288505,0.275638,0.269815,0.268965,0.270775,0.000004,0.000775,0.00143,0,1,0,0,0,0,0,0,0,0,0
26350,'2018/10/03 20:13:49:017',28,0.478335,0.462331,0.441915,0.418742,0.39453,0.370848,0.348954,0.329689,0.313453,0.300247,0.289776,0.281574,0.000003,0.000726,0.00143,0,1,0,0,0,0,0,0,0,0,0
26351,'2018/10/03 20:13:49:076',28,0.477103,0.452807,0.422852,0.390443,0.358688,0.330144,0.306518,0.288548,0.276099,0.268389,0.264311,0.262734,0.000003,0.000467,0.001451,0,1,0,0,0,0,0,0,0,0,0
26352,'2018/10/03 20:13:49:122',28,0.450299,0.4334,0.411698,0.386897,0.360858,0.335409,0.312169,0.2924,0.276914,0.266026,0.259576,0.256992,0.000002,0.00108,0.001446,0,1,0,0,0,0,0,0,0,0,0
26353,'2018/10/03 20:13:49:169',28,0.460003,0.434039,0.403095,0.371098,0.34145,0.316437,0.296986,0.282796,0.272757,0.265504,0.259929,0.255481,0.000001,0.000699,0.001439,0,1,0,0,0,0,0,0,0,0,0
26354,'2018/10/03 20:13:49:227',28,0.497917,0.463552,0.422643,0.380551,0.342057,0.31052,0.287441,0.27248,0.263894,0.259243,0.256147,0.252891,0.000001,0.000296,0.001411,0,1,0,0,0,0,0,0,0,0,0
26355,'2018/10/03 20:13:49:273',28,0.458162,0.439359,0.415633,0.389193,0.362378,0.337386,0.316021,0.299508,0.288391,0.28252,0.28113,0.283004,0.000002,0.000493,0.001401,0,1,0,0,0,0,0,0,0,0,0
26356,'2018/10/03 20:13:49:319',28,0.499683,0.473026,0.440693,0.406514,0.374059,0.34606,0.324045,0.308261,0.297864,0.291313,0.286848,0.282944,0.000002,0.000686,0.001401,0,1,0,0,0,0,0,0,0,0,0
26357,'2018/10/03 20:13:49:377',28,0.473203,0.448582,0.418773,0.387144,0.356633,0.329312,0.306267,0.287762,0.273563,0.263285,0.256601,0.253258,0.000001,0.000525,0.001403,0,1,0,0,0,0,0,0,0,0,0
26358,'2018/10/03 20:13:49:424',28,0.465486,0.45618,0.443717,0.428625,0.41153,0.393125,0.374126,0.355241,0.337127,0.320364,0.305421,0.29264,0.000005,0.000988,0.001389,0,1,0,0,0,0,0,0,0,0,0
26359,'2018/10/03 20:13:49:470',28,0.43769,0.421388,0.400705,0.377465,0.353608,0.330967,0.311066,0.294968,0.283192,0.275696,0.271948,0.271044,0.000002,0.000354,0.001379,0,1,0,0,0,0,0,0,0,0,0
26360,'2018/10/03 20:13:49:517',28,0.442033,0.422349,0.398356,0.372895,0.348732,0.328134,0.312543,0.302414,0.297239,0.29573,0.296136,0.296613,0.000001,0.000455,0.001371,0,1,0,0,0,0,0,0,0,0,0
26361,'2018/10/03 20:13:49:575',28,0.453932,0.445969,0.435225,0.422082,0.406998,0.390486,0.373092,0.355366,0.337844,0.321017,0.305322,0.291114,0.000002,0.000472,0.001364,0,1,0,0,0,0,0,0,0,0,0
26362,'2018/10/03 20:13:49:621',28,0.516005,0.482574,0.443552,0.404239,0.368802,0.339535,0.316774,0.299407,0.285765,0.274495,0.265132,0.258149,0.000003,0.001124,0.001376,0,1,0,0,0,0,0,0,0,0,0
26363,'2018/10/03 20:13:49:668',28,0.50759,0.490021,0.467237,0.440818,0.412501,0.384005,0.356882,0.332385,0.31139,0.294365,0.281388,0.272203,0.000006,0.00076,0.001395,0,1,0,0,0,0,0,0,0,0,0
26364,'2018/10/03 20:13:49:726',28,0.499741,0.473657,0.440906,0.404662,0.368261,0.33479,0.306723,0.28566,0.272189,0.2659,0.265522,0.269185,0.000002,0.00054,0.001393,0,1,0,0,0,0,0,0,0,0,0
26365,'2018/10/03 20:13:49:772',28,0.484955,0.461539,0.433167,0.403309,0.375294,0.351772,0.334332,0.323334,0.317977,0.316578,0.316999,0.317114,0.000003,0.000877,0.001398,0,1,0,0,0,0,0,0,0,0,0
26366,'2018/10/03 20:13:49:819',28,0.483257,0.457636,0.425567,0.390194,0.354754,0.322163,0.294687,0.273734,0.259785,0.252476,0.250773,0.253233,0.000002,0.000391,0.001381,0,1,0,0,0,0,0,0,0,0,0
26367,'2018/10/03 20:13:49:877',28,0.452158,0.429835,0.402216,0.372189,0.342618,0.315996,0.294209,0.27842,0.269051,0.265808,0.267752,0.273415,0.000002,0.001041,0.001365,0,1,0,0,0,0,0,0,0,0,0
26368,'2018/10/03 20:13:49:923',28,0.508445,0.475962,0.437046,0.396744,0.359744,0.329576,0.308088,0.295289,0.289575,0.288271,0.288336,0.287098,0.000005,0.001518,0.0014,0,1,0,0,0,0,0,0,0,0,0
26369,'2018/10/03 20:13:49:970',28,0.487627,0.465441,0.437968,0.408182,0.379134,0.353537,0.333412,0.319846,0.312889,0.311612,0.314304,0.318784,0.000006,0.000554,0.001435,0,1,0,0,0,0,0,0,0,0,0
26370,'2018/10/03 20:13:50:028',28,0.457285,0.446061,0.431665,0.415146,0.397536,0.379705,0.362273,0.345579,0.329724,0.314655,0.300288,0.286617,0.000003,0.000581,0.001449,0,1,0,0,0,0,0,0,0,0,0
26371,'2018/10/03 20:13:50:074',28,0.490417,0.472721,0.450181,0.424643,0.398011,0.372014,0.348032,0.326994,0.309363,0.295196,0.284247,0.276098,0.000003,0.000707,0.001474,0,1,0,0,0,0,0,0,0,0,0
26372,'2018/10/03 20:13:50:121',28,0.49327,0.462503,0.424781,0.384426,0.345721,0.312296,0.286633,0.269809,0.261475,0.260085,0.2633,0.268486,0.000003,0.000864,0.001475,0,1,0,0,0,0,0,0,0,0,0
26373,'2018/10/03 20:13:50:167',28,0.426156,0.410975,0.391524,0.369372,0.346224,0.323753,0.303432,0.286396,0.273357,0.264565,0.259824,0.258563,0.000001,0.000723,0.001442,0,1,0,0,0,0,0,0,0,0,0
26374,'2018/10/03 20:13:50:225',28,0.471245,0.449098,0.421572,0.39151,0.361793,0.334941,0.312816,0.296427,0.285897,0.280551,0.279123,0.280019,0.000002,0.000779,0.001446,0,1,0,0,0,0,0,0,0,0,0
26375,'2018/10/03 20:13:50:271',28,0.520382,0.492362,0.457745,0.42021,0.383375,0.350282,0.323037,0.302651,0.289087,0.281468,0.278394,0.27827,0.000004,0.000827,0.00146,0,1,0,0,0,0,0,0,0,0,0
26376,'2018/10/03 20:13:50:318',28,0.492616,0.470087,0.444629,0.419816,0.397848,0.379228,0.363141,0.348259,0.333588,0.318986,0.305195,0.293457,0.000006,0.001131,0.001476,0,1,0,0,0,0,0,0,0,0,0
26377,'2018/10/03 20:13:50:376',28,0.498031,0.468831,0.435107,0.40162,0.371963,0.347895,0.329314,0.314825,0.302637,0.291432,0.28088,0.271651,0.000004,0.00046,0.001483,0,1,0,0,0,0,0,0,0,0,0
26378,'2018/10/03 20:13:50:423',28,0.462443,0.442402,0.416888,0.388075,0.358297,0.329783,0.304427,0.283603,0.268065,0.257928,0.25273,0.251561,0.000002,0.000437,0.001473,0,1,0,0,0,0,0,0,0,0,0
26379,'2018/10/03 20:13:50:469',28,0.451494,0.422708,0.389996,0.35831,0.331314,0.310758,0.296535,0.287286,0.28122,0.276814,0.273148,0.269873,0.000001,0.000429,0.001468,0,1,0,0,0,0,0,0,0,0,0
26380,'2018/10/03 20:13:50:527',28,0.524925,0.499617,0.467504,0.431388,0.394221,0.358761,0.327274,0.30133,0.281705,0.268402,0.260775,0.257713,0.000003,0.001003,0.00146,0,1,0,0,0,0,0,0,0,0,0
26381,'2018/10/03 20:13:50:573',28,0.472129,0.441807,0.407299,0.373453,0.343541,0.318848,0.299082,0.283281,0.270696,0.261233,0.255312,0.253316,0.000003,0.000615,0.001453,0,1,0,0,0,0,0,0,0,0,0
26382,'2018/10/03 20:13:50:620',28,0.495004,0.469356,0.437645,0.403245,0.369492,0.339203,0.314317,0.295717,0.283251,0.275931,0.272257,0.270594,0.000003,0.000765,0.001456,0,1,0,0,0,0,0,0,0,0,0
26383,'2018/10/03 20:13:50:678',28,0.513967,0.489297,0.458275,0.423867,0.38919,0.357135,0.330024,0.309366,0.29573,0.288756,0.287283,0.289586,0.000006,0.001039,0.00149,0,1,0,0,0,0,0,0,0,0,0
26384,'2018/10/03 20:13:50:724',28,0.484823,0.459451,0.427436,0.391756,0.355574,0.321868,0.293099,0.270964,0.25626,0.248869,0.247869,0.251736,0.000004,0.00083,0.001502,0,1,0,0,0,0,0,0,0,0,0
26385,'2018/10/03 20:13:50:771',28,0.494546,0.474307,0.448361,0.41877,0.387766,0.357514,0.329897,0.306342,0.287715,0.274289,0.265787,0.261484,0.000003,0.000442,0.001518,0,1,0,0,0,0,0,0,0,0,0
26386,'2018/10/03 20:13:50:817',28,0.4644,0.452562,0.438363,0.42306,0.407271,0.390963,0.373771,0.355488,0.336464,0.317704,0.300609,0.28648,0.000003,0.000877,0.00153,0,1,0,0,0,0,0,0,0,0,0
26387,'2018/10/03 20:13:50:875',28,0.471893,0.447336,0.416837,0.383561,0.350702,0.321041,0.296592,0.278399,0.266503,0.260071,0.257654,0.257528,0.000005,0.000463,0.001538,0,1,0,0,0,0,0,0,0,0,0
